Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,Sviluppo modulo di controllo risoluzione,2023-10-01,2023-10-01,1 day,0,  ,,211,
1,2,Sviluppo modulo preprocessing immagine,2023-10-01,2023-10-01,2 day,0,1FS  ,,211,
1,3,Definizione metadati da estrarre,2023-10-01,2023-10-01,1 day,0,  ,,211,
1,4,Sviluppo modulo chiamata Textract,2023-10-01,2023-10-01,1 day,0,2FS  ,,211,
1,5,Sviluppo modulo OCR reconstruction,2023-10-01,2023-10-01,3 day,0,4FS  ,,211,
1,6,Sviluppo modulo chiamata modello NER,2023-10-01,2023-10-01,6 day,0,"3FS, 5FS  ",,211,
1,7,Sviluppo modulo di post-processing,2023-10-01,2023-10-01,6 day,0,6FS  ,,211,
1,8,Sviluppo modulo generazione status metadati,2023-10-01,2023-10-01,2 day,0,7FS  ,,211,
1,9,Creazione bucket S3,2023-10-01,2023-10-01,1 day,0,  ,,151,
1,10,"Creazione database Aurora (pre-validazione, post-validazione e per i feedback dei clienti)",2023-10-01,2023-10-01,2 day,0,3FS  ,,151,
1,11,Creazione Lambda Function Start,2023-10-01,2023-10-01,2 day,0,"1FS, 9FS  ",,151,
1,12,Creazione Lambda Function Preprocessing,2023-10-01,2023-10-01,3 day,0,"2FS, 9FS  ",,151,
1,13,Creazione Lambda Function Textract Proxy,2023-10-01,2023-10-01,3 day,0,"4FS, 9FS  ",,151,
1,14,Creazione Lambda Function OCR Reconstruction,2023-10-01,2023-10-01,3 day,0,"5FS, 9FS  ",,151,
1,15,Caricamento modello su SageMaker,2023-10-01,2023-10-01,1 day,0,6FS  ,,151,
1,16,Creazione Lambda Function CAI NER,2023-10-01,2023-10-01,4 day,0,"9FS, 15FS  ",,151,
1,17,Creazione Lambda Function Preprocessing,2023-10-01,2023-10-01,3 day,0,"7FS, 9FS  ",,151,
1,18,Creazione Lambda Function Status Generator,2023-10-01,2023-10-01,3 day,0,"8FS, 9FS  ",,151,
1,19,Creazione Lambda Function Output Generator,2023-10-01,2023-10-01,3 day,0,"10FS, 18FS  ",,151,
1,20,Creazione Step Function,2023-10-01,2023-10-01,3 day,0,"11FS, 12FS, 13FS, 14FS, 16FS, 17FS, 19FS  ",,151,
1,21,Rilascio in produzione,2023-10-01,2023-10-01,3 day,0,20FS  ,,151,
1,22,Aggiornamento portale vecchio (trigger ingestion),2023-10-01,2023-10-01,2 day,0,20FS  ,,31,
1,23,Creazione mockup pagine ,2023-10-01,2023-10-01,2 day,0,8FS  ,,31,
1,24,Validazione mockup con stakeholder,2023-10-01,2023-10-01,1 day,0,23FS  ,,31,
1,25,Creazione pagina visualizzazione metadati e status estratti,2023-10-01,2023-10-01,3 day,0,24FS  ,,31,
1,26,Sviluppo modulo connessione e salvataggio database post-validazione,2023-10-01,2023-10-01,2 day,0,10FS  ,,31,
1,27,Funzione di modifica e funzione di conferma dei metadati estratti,2023-10-01,2023-10-01,2 day,0,"25FS, 26FS  ",,31,
1,28,Creazione pagina validazione confermata con popup per il feedback clienti,2023-10-01,2023-10-01,3 day,0,24FS  ,,31,
1,29,Sviluppo modulo connessione e salvataggio database feedback clienti,2023-10-01,2023-10-01,2 day,0,10FS  ,,31,
1,30,Funzione di salvataggio del feedback utente,2023-10-01,2023-10-01,2 day,0,"28FS, 29FS  ",,31,
1,31,Creazione pagina ricerca documento,2023-10-01,2023-10-01,3 day,0,24FS  ,,31,
1,32,Sviluppo modulo connessione e ricerca database post-validazione,2023-10-01,2023-10-01,2 day,0,10FS  ,,31,
1,33,Funzione di ricerca documento nel database,2023-10-01,2023-10-01,2 day,0,"31FS, 32FS  ",,31,
1,34,Creazione pagina modifica documento dipendente Specifici,2023-10-01,2023-10-01,2 day,0,24FS  ,,31,
1,35,Funzione di modifica e funzione di conferma dei metadati estratti,2023-10-01,2023-10-01,2 day,0,"26FS, 34FS  ",,31,
1,36,Rilascio in produzione,2023-10-01,2023-10-01,3 day,0,"22FS, 27FS, 30FS, 33FS, 35FS  ",,31,
1,37,Scrittura guida,2023-10-01,2023-10-01,3 day,0,"21FS, 36FS  ",,301,
1,38,Revisione e aggiornamento contenuti,2023-10-01,2023-10-01,3 day,0,37FS  ,,301,
1,39,Pubblicazione guida su Confluence,2023-10-01,2023-10-01,1 day,0,38FS  ,,301,
1,40,Selezione formatori interni,2023-10-01,2023-10-01,1 day,0,  ,,0,
1,41,Definizione modalità  di formazione,2023-10-01,2023-10-01,1 day,0,  ,,0,
1,42,Sviluppo materiali didattici,2023-10-01,2023-10-01,2 day,0,"39FS, 40FS, 41FS  ",,0,
1,43,Pianificazione calendario formativo e invio comunicazioni ai partecipanti,2023-10-01,2023-10-01,1 day,0,"39FS, 40FS, 41FS  ",,0,
1,44,Esecuzione formazione,2023-10-01,2023-10-01,1 day,0,"42FS, 43FS",,0,
1,45,TERMINE MASSIMO CONSEGNA,2023-10-01,2023-10-01,1 day,0,44FS+10,,331,
